,placefp,geoname,p_parkacc,pop2010,gini_index,median_hh_income,athome,bicycle,car,carpool,cartotal,publictr,walk,median_income,food_afford,ave_fam_size,hfood_acc,job_house_low,job_house_tot,job_match,ozone,pm25_conc,p_hs_edatt,livewage_s,livewage_m,poverty_child,poverty_conc,poverty_all,unemp_rate,day_care,inf_care,violent_crime,child_abuse,voted,bad_water,p_trans_acc,traf_fatal,traf_sev,alc_off,alc_on,alc_tot,hh_f,hh_f_child,hh_m,hh_m_child,hh_married,hh_married_child,hh_nonfam,hh_nonfam_solo,placename,county,regionid,zri_sqft,hval_sqft
0,00212,Acton CDP,0.4037651,7596.0,0.378,90888.0,6.4,0.0,78.4,13.4,91.8132201334,0.5,0.0,12500.0,0.6470352,3.44,,21.1428571,0.5297937,0.3598858,39.357029682,9.1593161406,94.8,4.46293333333,88.3333333333,14.1,0.0,6.3,6.3,,,,3.6525974026,64.5045762,0.0,0.0,41.958041958,81.1188811189,5.51606108478,4.80516061085,6.97735650342,7.1,2.5,1.1,0.0,73.6,31.5,18.2,13.4,Acton,Los Angeles,16677.0,1.088,189.0
1,00296,Adelanto city,0.1470172,31765.0,0.384,43305.0,3.6,0.127502231289,70.2,19.8,89.9655743976,1.9,0.7,16997.0,0.5536979,4.01,,0.5833951,0.4288939,0.4706036,25.333595343,8.52803977,65.2,27.9389451094,90.7624633431,33.0,47.2425135,25.6,19.7,12.9919755445,,7.61844797733,9.09090909091,41.3,100.0,0.0,11.8615363325,17.1333302581,12.1359987408,3.9886667716,13.0930269164,26.3,19.4,6.4,4.7,51.1,34.4,16.3,12.2,Adelanto,San Bernardino,16684.0,0.744,
2,00394,Agoura Hills city,0.9817019,20330.0,0.431,106886.0,6.9,0.13201320132,82.9,7.0,89.900990099,0.6,1.1,52596.0,0.1272262,2.75,11.4503639,19.9064748,1.3686593,1.0544671,1.333333,11.416087,95.5,3.0427729636,59.8418181818,5.6,0.0,4.0,6.3,611.920529801,92.3694779116,0.885391047713,1.69270833333,63.5814586,0.0,0.0,4.83040449807,29.9485078881,22.1347761928,25.8091490408,31.1706837186,8.4,6.0,2.1,0.9,66.4,31.2,23.2,19.2,Agoura Hills,Los Angeles,9840.0,1.438,274.0
3,00464,Aguanga CDP,0.5319149,1128.0,0.398,45702.0,18.4,0.0,58.1,15.1,73.2106339468,0.0,0.0,2500.0,3.8732453,3.89,,0.8181818,0.0497512,0.2702703,22.666667,7.326466,89.6,,,23.7,,13.8,6.5,,,,5.25783619818,62.1917808,,0.0,55.9440559441,13.986013986,0.0,3.01418439716,3.01418439716,3.8,3.8,3.6,3.6,66.5,33.3,26.1,22.9,Aguanga,Riverside,43832.0,0.926,119.0
4,00478,Ahwahnee CDP,0.1366874,2246.0,0.515,45670.0,5.9,0.0,85.1,9.0,94.1176470588,0.0,0.0,,,3.46,,0.4418605,0.148272,0.2205638,16.192935923,7.7084988896,86.5,,,0.0,,0.5,11.8,,,,,76.2863535,,,28.6123032904,28.6123032904,,2.13713268032,2.13713268032,1.5,0.0,1.0,1.0,66.2,20.3,31.3,29.6,Ahwahnee,Madera,3333.0,0.904,131.0
5,00562,Alameda city,0.9592072,73812.0,0.434,74221.0,5.6,1.20168795238,64.0,9.4,73.4287231367,14.4,4.1,30889.0,0.2330518,3.13,10.2006443,2.1374371,0.7474462,0.6059772,0.0,8.778189947,90.7,13.2387098572,70.6769434151,15.5,0.0,10.1,8.1,460.233918129,57.268722467,2.34379233729,2.26478400671,68.165411,0.0,0.80543814014,0.274539734136,13.1779072385,62.7851839809,47.7171733593,65.1818132553,11.5,6.8,4.8,1.9,44.0,19.7,39.7,31.4,Alameda,Alameda,16697.0,1.392,345.0
6,00618,Alamo CDP,0.7520933,14570.0,0.471,147746.0,12.4,0.559552358114,75.4,5.0,80.3836930456,4.9,0.9,111250.0,0.0604421,2.78,11.4346269,35.2352941,0.4331312,0.4467537,0.666667,9.017757,98.3,2.96684118674,35.2756989247,4.2,,4.7,4.7,309.243697479,45.7516339869,,1.29946839929,76.5636992,0.0,0.0,2.63556697635,18.4489688344,15.8750857927,6.8840082361,16.4172958133,5.4,1.7,4.5,2.4,78.6,32.0,11.5,9.6,Alamo,Contra Costa,30145.0,1.432,380.0
7,00674,Albany city,1.0,18539.0,0.419,71994.0,6.3,4.75139405204,53.0,8.0,61.001394052,22.5,4.6,61118.0,0.1053982,2.74,21.1352017,5.6009615,0.4894676,0.3979242,0.0,8.844324753,94.6,19.4497398543,37.0430684932,8.6,0.0,8.7,5.6,237.068965517,,1.99579265333,1.92508893074,70.3533776,0.0,0.992070769729,5.61079067262,17.9545301524,62.4143697071,71.5626517072,82.4208425481,12.5,7.0,4.6,3.1,49.0,26.4,33.9,28.0,Albany,Alameda,37073.0,1.742,443.0
8,00884,Alhambra city,0.7204203,83089.0,0.431,51527.0,4.2,0.517487508922,75.0,12.0,87.0730090752,5.8,1.8,40589.0,0.1792277,3.09,11.9928064,3.5672699,0.8527202,0.7423071,7.3936620964,14.311177878,78.8,36.1519343814,75.2542815392,14.1,0.0,12.7,7.6,449.71480036,17.1258376768,2.22652818063,4.32770192085,46.8238487,99.9939823563,0.438204816522,7.41555831978,16.7448091092,61.1284285525,47.435882006,71.5702439553,17.3,7.1,7.1,1.8,47.7,20.3,27.9,22.4,Alhambra,Los Angeles,50677.0,1.502,317.0
9,00947,Aliso Viejo city,0.9968843,47823.0,0.347,95498.0,8.0,0.216368053447,78.1,10.9,88.9728211357,0.8,1.3,48520.0,0.1380139,2.82,8.5755514,20.9058824,0.8833551,0.8178343,3.6881350493,10.887207821,94.5,8.38852206018,71.2777678208,3.7,0.0,3.7,5.5,154.688569473,8.98472596586,0.77368630157,2.09528010587,52.0728666,0.0,0.0136336072601,0.859453559427,6.87562847542,26.3931581038,21.0819061958,30.6442506744,8.8,5.4,2.9,1.1,51.2,30.0,37.0,30.1,Aliso Viejo,Orange,37086.0,1.542,268.0
10,01150,Alondra Park CDP,0.9310987,8592.0,0.423,52346.0,2.3,0.680786686838,76.6,12.6,89.2082702975,5.2,1.5,10703.0,0.6673431,3.25,2.3809524,4.2922078,0.8264523,0.669627,0.0,14.337267315,77.4,51.9901649175,100.0,31.9,0.0,18.9,9.2,607.664233577,,,6.10932475884,49.3433396,0.0,0.999883612663,4.53669048429,9.07338096858,52.7467411546,59.020018622,64.9324953445,15.7,6.6,11.2,8.3,47.3,22.8,25.8,21.6,Alondra Park,Los Angeles,113412.0,1.664,310.0
11,01192,Alpine CDP,0.4619275,14236.0,0.465,81613.0,7.7,0.0,77.8,11.2,88.9803383631,1.6,1.5,41691.0,0.1354659,2.67,9.6789635,2.3605948,0.3315138,0.3455994,8.973330522,11.409708065,91.8,14.7083685545,77.4763636364,5.9,0.0,6.4,6.1,318.54199683,36.3196125908,,,71.1105763,0.0,0.0,22.51238181,27.014858172,22.0286597359,17.5119415566,23.1806687272,10.5,5.0,7.0,4.5,61.5,24.4,21.0,17.7,Alpine,San Diego,43867.0,1.088,207.0
12,01276,Alta CDP,0.1213115,610.0,0.39,51750.0,0.0,0.0,83.5,16.5,100.0,0.0,0.0,,,2.0,,0.8333333,0.1076923,0.1569507,11.170491825,7.1475091066,93.9,,,0.0,,6.8,6.1,,,,,72.6315789,0.0,0.0,,38.9863547758,7.70491803279,,7.70491803279,2.0,0.0,10.7,1.5,65.3,33.2,21.9,14.3,Alta,Placer,3379.0,1.002,161.0
13,01290,Altadena CDP,0.8411763,42777.0,0.451,82839.0,5.7,0.827412116679,76.0,10.8,86.8268511593,4.5,1.0,50859.0,0.1507194,3.3,6.9507939,3.064632,0.2820911,0.2465366,16.07065301,12.196938896,86.0,14.7892574386,52.0726108374,12.5,0.0,9.2,7.3,316.455696203,72.5352112676,,3.76298106292,62.0173798,0.0,0.0,1.76033094222,7.92148923998,37.008205344,14.6013044393,39.9163101667,12.2,5.2,5.7,2.1,53.3,24.9,28.7,23.4,Altadena,Los Angeles,30187.0,1.596,349.0
