,p_parkacc,pop2010,gini_index,median_hh_income,ave_fam_size,job_house_tot,job_match,ozone,pm25_conc,p_hs_edatt,livewage_s,poverty_all,unemp_rate,voted,bad_water,traf_sev,alc_on,nocar,hh_fam,placename,county,regionid,placefp,geoname,zri_sqft,hval_sqft
0,0.4037651,7596.0,0.378,90888.0,3.44,0.5297937,0.3598858,39.357029682,9.1593161406,94.8,4.46293333333,6.3,6.3,64.5045762,0.0,81.1188811189,4.80516061085,0.5,81.8,Acton,Los Angeles,16677.0,212,Acton CDP,1.088,189.0
1,0.1470172,31765.0,0.384,43305.0,4.01,0.4288939,0.4706036,25.333595343,8.52803977,65.2,27.9389451094,25.6,19.7,41.3,100.0,17.1333302581,3.9886667716,2.72750223129,83.8,Adelanto,San Bernardino,16684.0,296,Adelanto city,0.744,
2,0.9817019,20330.0,0.431,106886.0,2.75,1.3686593,1.0544671,1.333333,11.416087,95.5,3.0427729636,4.0,6.3,63.5814586,0.0,29.9485078881,25.8091490408,1.83201320132,76.9,Agoura Hills,Los Angeles,9840.0,394,Agoura Hills city,1.438,274.0
3,0.5319149,1128.0,0.398,45702.0,3.89,0.0497512,0.2702703,22.666667,7.326466,89.6,8.85677144553,13.8,6.5,62.1917808,22.1435080506,13.986013986,3.01418439716,0.0,73.9,Aguanga,Riverside,43832.0,464,Aguanga CDP,0.926,119.0
5,0.9592072,73812.0,0.434,74221.0,3.13,0.7474462,0.6059772,0.0,8.778189947,90.7,13.2387098572,10.1,8.1,68.165411,0.0,13.1779072385,47.7171733593,19.7016879524,60.3,Alameda,Alameda,16697.0,562,Alameda city,1.392,345.0
6,0.7520933,14570.0,0.471,147746.0,2.78,0.4331312,0.4467537,0.666667,9.017757,98.3,2.96684118674,4.7,4.7,76.5636992,0.0,18.4489688344,6.8840082361,6.35955235811,88.5,Alamo,Contra Costa,30145.0,618,Alamo CDP,1.432,380.0
7,1.0,18539.0,0.419,71994.0,2.74,0.4894676,0.3979242,0.0,8.844324753,94.6,19.4497398543,8.7,5.6,70.3533776,0.0,17.9545301524,71.5626517072,31.851394052,66.1,Albany,Alameda,37073.0,674,Albany city,1.742,443.0
8,0.7204203,83089.0,0.431,51527.0,3.09,0.8527202,0.7423071,7.3936620964,14.311177878,78.8,36.1519343814,12.7,7.6,46.8238487,99.9939823563,16.7448091092,47.435882006,8.11748750892,72.1,Alhambra,Los Angeles,50677.0,884,Alhambra city,1.502,317.0
9,0.9968843,47823.0,0.347,95498.0,2.82,0.8833551,0.8178343,3.6881350493,10.887207821,94.5,8.38852206018,3.7,5.5,52.0728666,0.0,6.87562847542,21.0819061958,2.31636805345,62.9,Aliso Viejo,Orange,37086.0,947,Aliso Viejo city,1.542,268.0
10,0.9310987,8592.0,0.423,52346.0,3.25,0.8264523,0.669627,0.0,14.337267315,77.4,51.9901649175,18.9,9.2,49.3433396,0.0,9.07338096858,59.020018622,7.38078668684,74.2,Alondra Park,Los Angeles,113412.0,1150,Alondra Park CDP,1.664,310.0
11,0.4619275,14236.0,0.465,81613.0,2.67,0.3315138,0.3455994,8.973330522,11.409708065,91.8,14.7083685545,6.4,6.1,71.1105763,0.0,27.014858172,17.5119415566,3.1,79.0,Alpine,San Diego,43867.0,1192,Alpine CDP,1.088,207.0
